ts,symbol,ltp,spread,imb,qi,cvd,quote_stab
2025-08-29T14:01:35.990325,BANKNIFTY,53735.45,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:35.990325,MIDCPNIFTY,12501.5,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:36.738811,NIFTY,24481.2,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:01:36.987923,BANKNIFTY,53737.95,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:36.987923,MIDCPNIFTY,12502.3,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:01:37.988449,NIFTY,24480.65,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:37.988449,BANKNIFTY,53738.5,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:37.738580,MIDCPNIFTY,12502.15,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:01:38.989042,NIFTY,24481.3,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:38.738208,BANKNIFTY,53738.85,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:38.738208,MIDCPNIFTY,12501.9,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:39.988945,NIFTY,24481.25,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:39.988945,BANKNIFTY,53740.45,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:39.988945,MIDCPNIFTY,12501.7,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:40.991815,NIFTY,24481.05,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:40.991815,BANKNIFTY,53739.95,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:40.991815,MIDCPNIFTY,12501.85,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:41.739099,NIFTY,24482.75,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:41.993651,BANKNIFTY,53746.0,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:01:41.993651,MIDCPNIFTY,12501.9,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:42.989690,NIFTY,24481.9,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:42.740897,BANKNIFTY,53745.2,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:42.989690,MIDCPNIFTY,12501.35,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:43.988721,NIFTY,24481.65,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:43.988721,BANKNIFTY,53744.5,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:43.988721,MIDCPNIFTY,12500.7,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:44.739096,NIFTY,24481.45,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:44.989193,BANKNIFTY,53744.55,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:44.989193,MIDCPNIFTY,12500.6,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:45.990881,NIFTY,24480.8,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:01:45.990881,BANKNIFTY,53742.1,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:45.990881,MIDCPNIFTY,12500.25,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:46.990437,NIFTY,24480.5,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:01:46.990437,BANKNIFTY,53742.5,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:46.990437,MIDCPNIFTY,12500.95,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:47.989746,NIFTY,24479.7,0.0,0.0,0.0,-7.0,1.0
2025-08-29T14:01:47.989746,BANKNIFTY,53739.95,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:47.743111,MIDCPNIFTY,12500.95,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:48.989335,NIFTY,24480.95,0.0,0.0,0.0,-7.0,1.0
2025-08-29T14:01:48.989335,BANKNIFTY,53742.35,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:48.989335,MIDCPNIFTY,12501.0,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:49.989009,NIFTY,24481.4,0.0,0.0,0.0,-5.0,1.0
2025-08-29T14:01:49.989009,BANKNIFTY,53743.85,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:49.989009,MIDCPNIFTY,12501.35,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:01:50.989267,NIFTY,24481.45,0.0,0.0,0.0,-5.0,1.0
2025-08-29T14:01:50.989267,BANKNIFTY,53743.8,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:50.989267,MIDCPNIFTY,12502.0,0.0,0.0,0.0,2.0,1.0
2025-08-29T14:01:51.988815,NIFTY,24480.55,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:01:51.988815,BANKNIFTY,53739.85,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:51.988815,MIDCPNIFTY,12502.05,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:01:52.989606,NIFTY,24481.5,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:52.740194,BANKNIFTY,53743.05,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:01:52.989606,MIDCPNIFTY,12501.25,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:01:53.989114,NIFTY,24481.1,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:53.989114,BANKNIFTY,53738.05,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:53.739429,MIDCPNIFTY,12501.55,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:01:55.018420,NIFTY,24480.0,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:01:54.739884,BANKNIFTY,53738.7,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:01:54.739884,MIDCPNIFTY,12500.85,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:01:55.989654,NIFTY,24480.75,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:55.989654,BANKNIFTY,53739.75,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:55.989654,MIDCPNIFTY,12501.3,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:01:56.739762,NIFTY,24482.6,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:57.001743,BANKNIFTY,53741.5,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:01:57.001743,MIDCPNIFTY,12501.2,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:01:57.989406,NIFTY,24480.55,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:57.989406,BANKNIFTY,53735.55,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:01:57.989406,MIDCPNIFTY,12501.65,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:01:58.989648,NIFTY,24481.6,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:01:58.989648,BANKNIFTY,53738.75,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:01:58.989648,MIDCPNIFTY,12501.5,0.0,0.0,0.0,4.0,1.0
2025-08-29T14:01:59.989609,NIFTY,24480.4,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:01:59.989609,BANKNIFTY,53738.2,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:01:59.989609,MIDCPNIFTY,12501.5,0.0,0.0,0.0,4.0,1.0
2025-08-29T14:02:00.990578,NIFTY,24479.8,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:00.740197,BANKNIFTY,53735.3,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:02:00.990578,MIDCPNIFTY,12500.9,0.0,0.0,0.0,2.0,1.0
